Brand,Model,CPU,GPU,RAM_GB,Storage_GB,Touchscreen,Weight_kg,Screen_Size_inch,Discount_percent,Brand_Discount,Member_Discount
Lenovo,Legion 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,2048,False,1.89,15.6,6.45,110,116.94
Dell,Alienware M15,Intel Core Ultra 9 15700H,Intel Arc A750M,32,2048,True,2.89,17.3,2.82,120,92.54
HP,Pavilion 15,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,1024,True,2.27,15.6,3.79,90,117.82
Dell,Inspiron 15,Intel i5-14500H,NVIDIA RTX 3050,64,512,False,2.31,16.0,5.07,120,115.99
Dell,XPS 13,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,64,512,True,2.14,15.6,5.6,120,192.72
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,1024,True,3.15,18.4,3.87,80,120.43
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 4050,8,1024,False,3.11,17.3,3.17,80,107.18
HP,Omen 15,Intel i5-14600H,NVIDIA RTX 3050,16,2048,False,3.46,18.4,6.88,90,85.14
Asus,ROG Zephyrus G15,Intel i7-14700H,NVIDIA RTX 4060,32,256,True,1.67,15.6,4.72,100,148.3
Asus,ExpertBook B9,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,128,4096,False,1.92,16.0,4.62,100,287.25
Dell,Alienware M15,Intel Core Ultra 7 15500H,Intel Arc A750M,32,4096,False,1.23,14.0,2.23,120,119.14
Dell,Alienware M15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,4096,True,3.34,18.4,5.96,120,144.34
Dell,XPS 15,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,32,2048,False,1.87,16.0,6.16,120,247.16
Asus,ExpertBook B9,Intel i5-14600H,NVIDIA RTX 3050,128,256,True,1.24,13.3,4.34,100,155.38
Acer,Swift 3,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,8,2048,True,1.6,16.0,4.64,80,129.53
Asus,TUF Gaming F15,Intel i5-14500H,NVIDIA RTX 4050,64,256,True,2.39,16.0,5.17,100,159.43
Dell,Latitude 7420,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,64,4096,True,2.46,16.0,2.3,120,196.81
Microsoft,Surface Pro 8,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,256,True,2.46,16.0,5.59,100,173.01
HP,Omen 15,Intel Core Ultra 7 15500H,Intel Arc A750M,32,512,True,2.57,18.4,6.92,90,118.8
Asus,VivoBook S15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,32,1024,False,1.45,13.3,3.9,100,179.9
HP,Spectre x360,Intel i7-14700H,NVIDIA RTX 4070,16,256,True,1.64,15.6,3.8,90,185.05
Microsoft,Surface Go 3,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,128,512,False,1.75,16.0,6.75,100,187.26
Lenovo,Yoga Slim 7,Intel i5-14600H,Intel Iris Xe,32,2048,False,1.65,16.0,2.54,110,91.54
HP,Envy 13,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,64,512,True,2.08,16.0,6.29,90,189.19
HP,Spectre x360,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,1024,True,3.14,18.4,5.6,90,204.26
HP,Envy 13,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,32,4096,False,1.26,13.3,5.2,90,222.99
Asus,ZenBook 14,Intel Core Ultra 7 15500H,Intel Arc A750M,8,256,True,1.32,13.3,3.39,100,101.47
Lenovo,ThinkBook 14s,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,2048,False,2.12,16.0,4.01,110,145.66
Lenovo,ThinkPad X1 Carbon,AMD Ryzen 5 8600H,NVIDIA RTX 4050,16,256,False,2.73,18.4,6.88,110,124.15
HP,Envy 13,Intel i7-14700H,NVIDIA RTX 4060,32,2048,True,1.65,16.0,6.99,90,132.54
Microsoft,Surface Pro 8,Intel i9-14900HK,NVIDIA RTX 4070,128,4096,True,3.27,18.4,6.3,100,253.42
Dell,XPS 13,Intel Core Ultra 9 15700H,Intel Arc A750M,8,4096,True,3.07,17.3,6.28,120,93.18
Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,128,4096,True,2.24,16.0,4.8,80,204.65
Asus,ZenBook 14,Intel i5-14500H,Intel Iris Xe,32,1024,True,1.17,14.0,4.46,100,94.92
HP,Omen 15,AMD Ryzen 7 8800H,NVIDIA RTX 4060,128,512,False,2.84,17.3,5.09,90,220.16
Microsoft,Surface Laptop Studio,Intel i7-14800H,NVIDIA RTX 4080,64,512,True,1.24,14.0,6.02,100,210.19
Lenovo,Yoga Slim 7,Intel Core Ultra 7 15500H,Intel Arc A750M,64,2048,True,1.21,13.3,2.4,110,129.41
Dell,Alienware M15,Intel i7-14700H,NVIDIA RTX 4070,32,2048,True,1.47,14.0,6.15,120,175.25
Dell,Latitude 7420,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,256,False,3.49,17.3,6.2,120,216.46
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,256,False,1.12,13.3,2.84,80,150.58
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,8,256,True,3.48,18.4,3.43,80,110.57
HP,Omen 15,AMD Ryzen 9 8900HX,AMD Radeon 780M,8,1024,False,2.14,16.0,5.44,90,114.32
Microsoft,Surface Go 3,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,4096,True,3.0,18.4,5.8,100,220.42
Dell,XPS 15,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,128,2048,True,2.49,16.0,5.08,120,205.13
Acer,Swift 3,Intel i5-14600H,Intel Iris Xe,32,256,True,2.39,16.0,4.04,80,106.3
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,256,False,1.32,13.3,6.59,80,116.08
Dell,XPS 15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,128,256,False,1.45,13.3,6.21,120,184.48
HP,Envy 13,Intel Core Ultra 7 15500H,Intel Arc A750M,64,2048,False,1.97,16.0,4.07,90,119.21
Dell,Alienware M15,Intel i5-14500H,NVIDIA RTX 3050,32,1024,False,2.45,16.0,5.91,120,103.7
Dell,Inspiron 15,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,4096,False,1.17,13.3,4.7,120,197.68
Acer,TravelMate P6,AMD Ryzen 7 8800H,AMD Radeon 780M,64,512,False,1.19,13.3,6.65,80,170.32
Microsoft,Surface Pro 8,AMD Ryzen 7 8800H,AMD Radeon 780M,8,4096,True,2.81,17.3,2.33,100,120.68
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 4050,128,512,False,1.47,14.0,2.94,80,133.26
Asus,ExpertBook B9,AMD Ryzen 5 8600H,NVIDIA RTX 3050,8,256,True,2.88,17.3,3.79,100,94.78
Microsoft,Surface Book 3,Intel i9-14900HK,NVIDIA RTX 4070,16,1024,False,1.09,13.3,5.12,100,147.52
Microsoft,Surface Laptop Studio,Intel i7-14800H,NVIDIA RTX 4080,64,256,False,1.94,15.6,6.08,100,165.38
Microsoft,Surface Pro 8,AMD Ryzen 7 8800H,NVIDIA RTX 4070,32,512,False,2.11,16.0,2.21,100,133.86
HP,Omen 15,Intel i5-14500H,NVIDIA RTX 3050,128,1024,True,2.57,17.3,4.59,90,183.15
HP,Omen 15,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,64,512,True,3.31,18.4,3.29,90,220.72
HP,EliteBook 840,Intel i5-14500H,Intel Iris Xe,128,4096,False,1.38,14.0,4.83,90,166.42
Acer,Predator Helios 300,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,1024,True,3.15,17.3,5.38,80,201.98
Acer,Swift 3,Intel i5-14500H,Intel Iris Xe,8,1024,True,2.47,15.6,3.66,80,99.38
Dell,Inspiron 15,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,512,True,1.45,13.3,3.31,120,114.74
HP,Envy 13,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,256,True,3.04,17.3,3.59,90,136.78
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,8,512,True,3.37,17.3,2.13,80,96.31
Acer,Predator Helios 300,Intel Core Ultra 9 15700H,Intel Arc A750M,64,1024,False,2.92,17.3,3.11,80,94.22
Asus,ExpertBook B9,Intel Core Ultra 7 15500H,Intel Arc A750M,128,1024,False,2.27,15.6,3.14,100,167.75
Acer,TravelMate P6,Intel i5-14600H,Intel Iris Xe,16,1024,False,2.29,15.6,2.18,80,96.02
Dell,XPS 15,Intel Core Ultra 9 15700H,Intel Arc A750M,16,256,False,3.07,17.3,4.56,120,99.65
Microsoft,Surface Laptop Studio,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,128,512,True,1.72,15.6,5.12,100,228.56
HP,Spectre x360,Intel i7-14700H,NVIDIA RTX 4060,64,1024,True,2.89,17.3,6.71,90,140.22
Lenovo,Yoga Slim 7,Intel i5-14500H,NVIDIA RTX 4050,32,2048,False,1.04,13.3,2.51,110,149.16
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,16,512,False,1.05,13.3,6.29,80,161.95
Dell,Inspiron 15,Intel i9-14900HK,NVIDIA RTX 4070,32,4096,True,1.49,14.0,2.24,120,205.54
Asus,TUF Gaming F15,Intel i7-14700H,NVIDIA RTX 4070,64,256,False,2.45,15.6,6.18,100,174.46
Dell,Inspiron 15,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,256,True,2.5,17.3,6.29,120,173.01
Dell,XPS 13,Intel i5-14500H,NVIDIA RTX 3050,32,2048,False,1.95,16.0,4.61,120,128.16
Microsoft,Surface Laptop 5,Intel i7-14800H,NVIDIA RTX 4070,32,2048,True,1.91,16.0,6.09,100,177.05
Microsoft,Surface Book 3,Intel i7-14700H,NVIDIA RTX 4070,8,4096,False,1.28,14.0,5.44,100,202.55
Lenovo,ThinkBook 14s,Intel Core Ultra 9 15700H,Intel Arc A750M,32,1024,True,2.31,15.6,3.02,110,104.9
Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4070,32,2048,False,2.04,16.0,6.48,100,187.85
Dell,Alienware M15,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,4096,False,1.33,14.0,6.45,120,211.42
Microsoft,Surface Go 3,Intel i5-14500H,NVIDIA RTX 3050,128,256,True,2.97,18.4,2.12,100,126.98
Lenovo,Yoga Slim 7,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,16,256,True,2.01,15.6,4.25,110,117.18
Microsoft,Surface Go 3,Intel i9-14900HK,NVIDIA RTX 4070,64,2048,True,1.11,14.0,5.49,100,248.98
Lenovo,Yoga Slim 7,Intel i5-14600H,NVIDIA RTX 3050,32,256,False,2.31,16.0,5.57,110,99.1
Dell,XPS 13,AMD Ryzen 9 8900HX,AMD Radeon 780M,32,256,True,3.32,17.3,5.98,120,126.08
Microsoft,Surface Pro 8,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,1024,False,3.31,17.3,5.32,100,161.06
Lenovo,ThinkPad X1 Carbon,Intel i5-14500H,Intel Iris Xe,8,2048,True,2.65,17.3,4.51,110,123.12
Asus,ZenBook 14,Intel i7-14800H,NVIDIA RTX 4080,64,2048,False,3.05,17.3,6.68,100,174.34
HP,Spectre x360,Intel i7-14700H,NVIDIA RTX 4070,16,512,False,1.44,13.3,3.75,90,176.34
Asus,ExpertBook B9,Intel i5-14500H,Intel Iris Xe,16,256,True,1.45,14.0,5.76,100,96.82
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4060,16,2048,True,1.68,16.0,5.18,80,126.14
Asus,TUF Gaming F15,AMD Ryzen 7 8800H,NVIDIA RTX 4070,128,2048,False,1.14,14.0,3.53,100,255.42
Lenovo,Yoga Slim 7,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,256,False,1.23,13.3,3.6,110,186.03
Asus,ExpertBook B9,Intel i7-14700H,NVIDIA RTX 4060,128,1024,False,2.26,15.6,4.94,100,223.75
Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4080,16,4096,False,2.96,18.4,3.48,100,252.53
Microsoft,Surface Laptop Studio,Intel i7-14700H,NVIDIA RTX 4070,64,1024,False,1.12,14.0,6.21,100,212.41
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,2048,True,3.01,18.4,6.2,80,132.54
Dell,XPS 13,Intel i9-14900HK,NVIDIA RTX 4070,64,256,False,2.46,16.0,5.74,120,160.38
Lenovo,Yoga Slim 7,Intel i7-14800H,NVIDIA RTX 4060,64,256,True,2.99,18.4,3.62,110,163.66
Microsoft,Surface Pro 8,AMD Ryzen 5 8600H,AMD Radeon 680M,32,4096,True,1.25,14.0,2.36,100,132.34
Asus,ROG Zephyrus G15,Intel i7-14800H,NVIDIA RTX 4080,16,1024,True,1.36,14.0,4.83,100,154.52
Dell,XPS 13,Intel i9-14900HK,NVIDIA RTX 4080,64,256,True,1.17,14.0,2.2,120,264.43
HP,Pavilion 15,Intel i5-14600H,Intel Iris Xe,64,2048,False,2.3,16.0,4.77,90,146.08
Microsoft,Surface Book 3,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,64,2048,True,1.12,13.3,4.36,100,132.84
Asus,VivoBook S15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,256,True,1.02,13.3,4.27,100,103.58
HP,Pavilion 15,Intel i9-14900HK,NVIDIA RTX 4070,128,1024,False,1.07,13.3,6.78,90,192.32
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,128,512,True,3.07,18.4,3.17,80,128.26
HP,Spectre x360,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,8,256,True,1.51,15.6,6.8,90,201.57
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,64,512,False,1.46,14.0,2.06,80,252.22
HP,Pavilion 15,Intel i5-14600H,NVIDIA RTX 3050,128,4096,False,2.51,17.3,4.89,90,140.18
Asus,ROG Zephyrus G15,Intel i5-14500H,Intel Iris Xe,64,256,True,1.42,14.0,6.01,100,99.88
Microsoft,Surface Laptop 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,2048,False,2.69,17.3,3.24,100,116.94
Dell,Inspiron 15,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,4096,True,1.58,15.6,2.77,120,186.38
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,256,False,2.36,16.0,5.91,80,129.58
Acer,Nitro 5,Intel Core Ultra 7 15500H,Intel Arc A750M,128,4096,True,1.39,14.0,5.4,80,139.68
Lenovo,ThinkPad X1 Carbon,Intel i5-14600H,Intel Iris Xe,16,2048,True,2.83,18.4,6.16,110,91.14
Dell,Alienware M15,Intel i5-14600H,NVIDIA RTX 3050,32,1024,False,1.37,13.3,5.95,120,101.9
Asus,ZenBook 14,Intel i5-14500H,Intel Iris Xe,16,256,False,2.77,17.3,2.68,100,91.42
Asus,ROG Zephyrus G15,Intel i7-14800H,NVIDIA RTX 4060,128,2048,True,1.09,13.3,4.09,100,208.13
Asus,ROG Zephyrus G15,Intel i7-14800H,NVIDIA RTX 4070,16,256,True,2.52,17.3,5.75,100,158.62
Dell,Latitude 7420,AMD Ryzen 7 8800H,NVIDIA RTX 4070,16,4096,True,1.4,14.0,4.36,120,209.83
Acer,Swift 3,AMD Ryzen 7 8800H,AMD Radeon 780M,128,512,True,2.89,17.3,4.52,80,150.76
Microsoft,Surface Laptop 5,Intel i5-14500H,NVIDIA RTX 3050,64,1024,False,1.87,15.6,3.77,100,99.22
Dell,Inspiron 15,Intel i5-14500H,NVIDIA RTX 3050,8,256,True,1.25,13.3,6.08,120,97.78
Lenovo,ThinkPad X1 Carbon,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,512,False,2.86,18.4,3.17,110,131.11
HP,Spectre x360,Intel i9-14900HK,NVIDIA RTX 4070,128,2048,False,2.7,18.4,4.98,90,233.93
Acer,Swift 3,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,512,False,2.79,18.4,2.15,80,131.11
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,512,False,1.67,16.0,6.76,80,118.86
Dell,Inspiron 15,AMD Ryzen 5 8600H,NVIDIA RTX 3050,32,2048,True,2.78,17.3,6.09,120,136.56
Lenovo,ThinkPad X1 Carbon,Intel i5-14500H,NVIDIA RTX 4050,128,256,True,2.16,15.6,6.94,110,167.38
Acer,Swift 3,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,2048,False,2.52,17.3,6.64,80,265.08
Microsoft,Surface Go 3,Intel i5-14500H,NVIDIA RTX 4050,16,256,True,1.76,15.6,3.67,100,94.68
Microsoft,Surface Go 3,Intel i9-14900HK,NVIDIA RTX 4070,64,4096,False,1.61,16.0,4.07,100,215.5
Dell,XPS 15,Intel i7-14700H,NVIDIA RTX 4070,64,4096,True,1.23,13.3,4.2,120,207.7
Asus,ROG Zephyrus G15,Intel i9-14900HK,NVIDIA RTX 4080,32,4096,False,1.17,14.0,2.76,100,227.14
Acer,Aspire 5,Intel i5-14600H,Intel Iris Xe,32,2048,True,1.76,15.6,3.73,80,117.05
Asus,ExpertBook B9,AMD Ryzen 7 8800H,NVIDIA RTX 4070,16,4096,False,2.63,18.4,2.91,100,145.38
Asus,TUF Gaming F15,Intel i5-14600H,NVIDIA RTX 4050,128,2048,True,1.04,14.0,3.02,100,150.94
Microsoft,Surface Go 3,Intel i7-14700H,NVIDIA RTX 4060,16,1024,True,1.05,14.0,3.99,100,123.52
Microsoft,Surface Pro 8,Intel i5-14600H,NVIDIA RTX 3050,64,4096,False,1.31,14.0,6.35,100,158.31
Lenovo,Yoga Slim 7,Intel i5-14600H,NVIDIA RTX 4050,64,512,False,2.33,15.6,3.92,110,109.16
Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4080,128,256,False,3.17,18.4,2.19,100,288.37
Dell,Alienware M15,Intel i5-14600H,NVIDIA RTX 3050,32,2048,False,1.63,15.6,4.1,120,109.85
Lenovo,ThinkPad X1 Carbon,Intel i5-14500H,Intel Iris Xe,8,256,False,1.03,14.0,6.56,110,105.67
Asus,ZenBook 14,AMD Ryzen 7 8800H,AMD Radeon 780M,32,512,False,2.99,18.4,6.0,100,148.9
Asus,ROG Zephyrus G15,Intel i5-14600H,NVIDIA RTX 3050,128,256,False,1.79,15.6,3.78,100,169.37
Microsoft,Surface Laptop Studio,Intel i5-14600H,NVIDIA RTX 3050,8,512,False,1.15,14.0,6.8,100,92.11
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,4096,False,1.42,14.0,6.19,80,135.34
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,128,256,True,1.37,13.3,4.32,80,192.58
Lenovo,Yoga Slim 7,Intel i5-14600H,NVIDIA RTX 4050,16,1024,False,1.27,14.0,4.93,110,133.03
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,32,256,True,2.62,18.4,3.1,80,117.01
Dell,Alienware M15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,8,512,True,1.96,16.0,3.18,120,203.36
Microsoft,Surface Book 3,AMD Ryzen 7 8800H,NVIDIA RTX 4070,32,4096,False,3.31,18.4,4.83,100,151.78
Acer,Aspire 5,AMD Ryzen 9 8900HX,AMD Radeon 780M,64,4096,True,1.89,15.6,6.9,80,221.31
Dell,Latitude 7420,Intel Core Ultra 7 15500H,Intel Arc A750M,8,512,True,2.37,15.6,4.06,120,75.26
Dell,Alienware M15,AMD Ryzen 5 8600H,AMD Radeon 680M,64,256,True,2.84,18.4,6.06,120,101.38
HP,Pavilion 15,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,4096,True,1.25,13.3,6.39,90,189.95
Asus,ExpertBook B9,AMD Ryzen 7 8800H,AMD Radeon 780M,128,4096,False,2.59,17.3,2.68,100,195.22
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,8,512,True,1.95,16.0,2.58,80,92.76
Lenovo,ThinkBook 14s,Intel i7-14800H,NVIDIA RTX 4070,128,256,True,1.79,16.0,3.8,110,247.77
Lenovo,ThinkBook 14s,Intel i7-14800H,NVIDIA RTX 4070,64,512,False,1.27,14.0,5.56,110,178.99
Lenovo,IdeaPad 5,Intel i5-14500H,NVIDIA RTX 4050,8,512,False,1.02,14.0,3.29,110,89.26
Dell,XPS 13,Intel i5-14500H,NVIDIA RTX 3050,8,1024,False,1.35,13.3,2.54,120,90.38
HP,Pavilion 15,AMD Ryzen 7 8800H,NVIDIA RTX 4070,64,2048,False,1.18,14.0,4.95,90,219.58
HP,EliteBook 840,Intel i5-14600H,NVIDIA RTX 4050,64,4096,False,1.44,13.3,2.86,90,150.7
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,128,256,True,2.44,15.6,4.81,80,146.38
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,128,512,True,1.37,14.0,4.54,80,296.46
Asus,TUF Gaming F15,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,4096,False,2.62,17.3,6.33,100,152.62
Microsoft,Surface Pro 8,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,512,False,1.03,13.3,6.87,100,138.4
Lenovo,Yoga Slim 7,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,4096,False,2.46,16.0,4.78,110,127.18
Lenovo,IdeaPad 5,AMD Ryzen 7 8800H,AMD Radeon 780M,64,4096,True,1.05,13.3,6.76,110,145.58
Microsoft,Surface Go 3,AMD Ryzen 7 8800H,NVIDIA RTX 4060,16,4096,True,2.37,15.6,6.02,100,163.66
Acer,Nitro 5,AMD Ryzen 5 8600H,AMD Radeon 680M,8,512,False,3.42,17.3,2.62,80,89.11
Asus,TUF Gaming F15,Intel i7-14800H,NVIDIA RTX 4080,16,4096,False,3.04,17.3,6.03,100,165.38
HP,Omen 15,AMD Ryzen 5 8600H,AMD Radeon 680M,8,256,True,1.93,16.0,4.32,90,78.98
HP,Omen 15,Intel i7-14800H,NVIDIA RTX 4080,128,256,True,1.22,14.0,3.49,90,239.38
Lenovo,Yoga Slim 7,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,2048,True,1.44,14.0,5.67,110,243.38
Acer,Nitro 5,Intel i7-14700H,NVIDIA RTX 4070,8,2048,False,2.89,17.3,4.47,80,184.72
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,128,256,True,2.54,17.3,5.55,80,139.48
Asus,ZenBook 14,Intel i7-14800H,NVIDIA RTX 4060,32,512,True,3.46,17.3,5.87,100,124.86
Asus,ExpertBook B9,Intel i5-14500H,NVIDIA RTX 4050,32,2048,False,1.9,16.0,5.15,100,124.85
Lenovo,Legion 5,Intel Core Ultra 7 15500H,Intel Arc A750M,128,256,True,2.07,16.0,3.41,110,170.77
Microsoft,Surface Pro 8,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,32,1024,True,1.02,13.3,3.35,100,251.89
Asus,ExpertBook B9,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,512,True,2.31,16.0,4.0,100,192.72
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,64,1024,False,1.45,13.3,6.64,80,92.72
HP,Envy 13,Intel i9-14900HK,NVIDIA RTX 4080,32,512,True,2.34,15.6,5.63,90,244.8
HP,EliteBook 840,Intel i5-14600H,Intel Iris Xe,128,512,True,1.84,16.0,4.38,90,128.26
Asus,ZenBook 14,AMD Ryzen 7 8800H,AMD Radeon 780M,8,1024,False,1.29,14.0,5.58,100,101.82
Asus,ZenBook 14,AMD Ryzen 5 8600H,AMD Radeon 680M,64,512,True,2.58,17.3,5.96,100,123.19
Lenovo,Legion 5,AMD Ryzen 5 8600H,AMD Radeon 680M,16,2048,False,3.03,17.3,6.14,110,102.17
Lenovo,Yoga Slim 7,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,16,4096,False,1.29,13.3,2.2,110,186.03
Lenovo,ThinkBook 14s,Intel i5-14500H,NVIDIA RTX 4050,16,1024,False,2.46,15.6,2.66,110,129.53
Lenovo,ThinkBook 14s,Intel i7-14800H,NVIDIA RTX 4070,128,512,True,1.82,16.0,5.01,110,249.56
Microsoft,Surface Go 3,AMD Ryzen 7 8800H,NVIDIA RTX 4070,64,512,False,2.24,15.6,5.52,100,146.66
HP,EliteBook 840,Intel i7-14700H,NVIDIA RTX 4070,16,4096,True,1.02,13.3,4.36,90,153.88
Microsoft,Surface Book 3,AMD Ryzen 5 8600H,AMD Radeon 680M,8,4096,False,2.38,15.6,2.28,100,92.18
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,64,4096,False,2.44,16.0,3.96,80,179.5
Microsoft,Surface Go 3,Intel i9-14900HK,NVIDIA RTX 4070,64,256,True,2.5,16.0,4.54,100,232.93
Acer,Aspire 5,Intel i5-14600H,Intel Iris Xe,8,256,False,2.66,17.3,2.1,80,102.17
Microsoft,Surface Laptop Studio,AMD Ryzen 5 8600H,NVIDIA RTX 4050,128,2048,False,1.23,13.3,3.42,100,173.93
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,16,1024,False,1.1,14.0,6.1,80,114.02
Acer,Predator Helios 300,Intel i5-14600H,NVIDIA RTX 4050,16,2048,False,2.89,17.3,4.19,80,117.17
Dell,Inspiron 15,Intel i7-14700H,NVIDIA RTX 4060,128,512,True,1.2,14.0,4.05,120,232.06
Acer,Swift 3,Intel i9-14900HK,NVIDIA RTX 4080,128,2048,False,1.37,13.3,5.29,80,256.13
Microsoft,Surface Pro 8,Intel i9-14900HK,NVIDIA RTX 4070,32,512,False,1.02,14.0,2.59,100,151.36
Microsoft,Surface Book 3,AMD Ryzen 5 8600H,AMD Radeon 680M,32,4096,False,1.35,14.0,2.39,100,100.28
Dell,XPS 15,Intel i7-14800H,NVIDIA RTX 4080,32,512,True,1.27,13.3,4.64,120,194.83
Microsoft,Surface Laptop 5,Intel i7-14700H,NVIDIA RTX 4060,64,256,True,1.06,13.3,2.39,100,194.43
Dell,Alienware M15,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,8,4096,True,2.72,17.3,3.57,120,141.82
Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4070,8,256,True,2.85,17.3,6.64,100,143.98
Lenovo,ThinkBook 14s,Intel i5-14500H,NVIDIA RTX 3050,8,256,True,2.64,18.4,5.78,110,94.78
Microsoft,Surface Laptop 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,512,True,2.12,15.6,5.51,100,174.8
Asus,TUF Gaming F15,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,2048,False,1.3,13.3,6.84,100,201.41
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,16,512,False,1.53,15.6,2.11,80,194.95
Microsoft,Surface Laptop Studio,Intel i7-14700H,NVIDIA RTX 4070,8,2048,False,1.31,14.0,3.52,100,130.44
Dell,XPS 15,Intel i5-14500H,NVIDIA RTX 4050,128,256,False,1.14,13.3,3.06,120,135.98
Microsoft,Surface Pro 8,AMD Ryzen 7 8800H,NVIDIA RTX 4070,32,256,False,1.1,14.0,6.46,100,162.1
Dell,XPS 15,Intel i5-14600H,Intel Iris Xe,64,256,False,1.21,13.3,5.07,120,137.03
Asus,ExpertBook B9,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,256,False,2.51,18.4,4.47,100,158.48
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,512,True,2.63,18.4,3.17,80,142.15
